venue_code,title,start_date,end_date,summary,url,notes
capo,I Segni dei Tempi. Carlo Maria Mariani a Capodimonte,,,"Apertura tutti i giorni tranne il mercoledì, la domenica e i festivi dalle ore 8.30 alle 19.30 (ultimo ingresso alle 18.30) Intervengono: Il Direttore del Museo e Real Bosco di Capodimonte Eike Schmidt, il Direttore della Pinacoteca di Brera Angelo Crespi Mariani avesse predeterminato e predestinato il suo approdo finale a Napoli e Capodimonte” La donazione del dipinto di Carlo Maria Mariani I Segni dei Tempi (2019) al Museo e Real Bosco di Capodimonte da parte della Fondazione Carlo Maria Mariani (New York), è accompagnata da una mostra omaggio (16 aprile -14 luglio, prorogata all’8 settembre 2026) dedicata all’artista definito “l’ultimo degli antichi e il primo dei contemporanei” a cura di Antonio Martino e Andrea Viliani (sala 6, I piano).",https://capodimonte.cultura.gov.it/mostra/i-segni-dei-tempi-carlo-maria-mariani-a-capodimonte/,"Found on the venue's ""all (current/upcoming/past)"" listing page. No closing date found anywhere on the venue's pages."
capo,,,,"Dal 10 aprile al 29 settembre 2026, sale 81, 83, 84 secondo piano Apertura tutti i giorni (tranne il mercoledì, le domeniche e i festivi) dalle 8.30 alle 17.00 (ultimo ingresso alle 16.30) Per vedere, devi sollevare il velo, operando uno sforzo, perché l’arte non è mai del tutto facile, ha sempre bisogno di una decifrazione – Emilio Isgrò Canto Napoli è la mostra che Emilio Isgrò dedica alla città di Napoli, un progetto inedito curato da Eike Schmidt, Direttore del Museo e Real Bosco di Capodimonte, presentato dal 10 aprile al 29 settembre nelle sale 81-83-84 del secondo piano.",https://capodimonte.cultura.gov.it/mostra/emilio-isgro-canto-napoli/,"Found on the venue's ""all (current/upcoming/past)"" listing page. No exhibition name could be read from this link. Web address suggests: ""Emilio Isgro Canto Napoli"". No closing date found anywhere on the venue's pages."
capo,“Metamorfosi” di Bertozzi & Casoni,,,"Apertura tutti i giorni tranne il mercoledì, le domeniche e i festivi Nei giorni feriali dalle ore 8.30 alle 19.30 (ultimo ingresso alle 18.30). Le porcellane e la Reggia tra storia, dialoghi e contraddizioni Il 5 dicembre 2025 il Museo e Real Bosco di Capodimonte presenta Bertozzi & Casoni. Metamorfosi, a cura di Eike Schmidt e Diego Galizzi.",https://capodimonte.cultura.gov.it/mostra/metamorfosi-di-bertozzi-casoni/,"Found on the venue's ""all (current/upcoming/past)"" listing page. No closing date found anywhere on the venue's pages."
capo,Nicola Samorì. Classical collapse,,,"Dal 28 novembre 2025 al 9 giugno 2026, sala Causa, piano terra Apertura tutti i giorni dalle 10.00 alle 17.00 (ultimo ingresso alle 16.30) tranne il mercoledì, le domeniche e i festivi Museo e Real Bosco di Capodimonte, Napoli 28 novembre 2025 – 10 marzo 2026 – prorogata al 9 giugno 2026 Pinacoteca Ambrosiana, Milano 27 novembre 2025 – 10 marzo 2026",https://capodimonte.cultura.gov.it/mostra/nicola-samori-classical-collapse/,"Found on the venue's ""all (current/upcoming/past)"" listing page. No closing date found anywhere on the venue's pages."
capo,,,,"Apertura tutti i giorni tranne il mercoledì, la domenica e i festivi dalle ore 8.30 alle 19.30 (ultimo ingresso alle 18.30). Il Museo e Real Bosco di Capodimonte rende omaggio a Mimmo Jodice ( Napoli 29 marzo 1934 – 27 ottobre 2025), uno dei più grandi protagonisti della fotografia contemporanea internazionale con una sala commemorativa (n.16, primo piano) inaugurata dal Direttore Eike Schmidt, da Angela e Barbara Jodice, e dal curatore Fabio Speranza. Le immagini esposte sono selezionate dalla serie Transiti (2008), opera composta da 21 polittici fotografici per un totale di 55 stampe, entrata nelle collezioni di Capodimonte con altri lavori di Jodice (Omaggio a Rodin, Avanguardia a Napoli, Eden, La città invisibile). Queste opere, insieme all’archivio documentale del Maestro, costituiranno il nucleo fondante della Casa della Fotografia “Mimmo Jodice”, un centro di cultura e promozione fotografica intitolato al maestro, di prossima apertura nella palazzina Cataneo (area est del Real Bosco).",https://capodimonte.cultura.gov.it/mostra/capodimonte-ricorda-mimmo-jodice/,"Found on the venue's ""all (current/upcoming/past)"" listing page. No exhibition name could be read from this link. Web address suggests: ""Capodimonte Ricorda Mimmo Jodice"". No closing date found anywhere on the venue's pages."
capo,Sogno mediterraneo. Sergio Vacchi,,,"Apertura tutti i giorni tranne il mercoledì, le domeniche, i festivi Nei giorni feriali dalle ore 8.30 alle 19.30 (ultimo ingresso alle 18.30) In Per un volto del paesaggio (1962) protagonista è il sole, e unico essere vivente un uccello grasso come un gabbiano. L’archeologia, il mare, la storia della regione sono i temi di La telefonata di marmo (1966) e L’amante di Federico II di Hohenstaufen (1966), due dipinti dove Vacchi allude con impareggiabile ironia alla sofisticata eleganza che serpeggia nelle creazioni artigianali, artistiche, architettoniche del Golfo.",https://capodimonte.cultura.gov.it/mostra/sogno-mediterraneo-sergio-vacchi/,"Found on the venue's ""all (current/upcoming/past)"" listing page. No closing date found anywhere on the venue's pages."
capo,NAFRICA-MASCHERE (Memorie & Identità / Uomini o Maschere),,,"Apertura tutti i giorni tranne il mercoledì, le domeniche e i festivi Il sindaco di Napoli: “NAFRICA-MASCHERE è un progetto che parla di memoria, di responsabilità e di sguardi sul futuro. Ripercorrere, attraverso l’arte, le tracce del nostro passato coloniale significa confrontarsi con un capitolo doloroso della storia e scegliere di trasformarlo in conoscenza e consapevolezza. Questa consapevolezza riguarda soprattutto le nuove generazioni: offrire ai giovani gli strumenti per comprendere la complessità del passato significa renderli protagonisti di un futuro più giusto, più aperto e più solidale. La collaborazione tra Comune, Museo e Real Bosco di Capodimonte e Napoli 2500 sotto la direzione artistica di Laura Valente, testimonia la forza delle istituzioni quando operano insieme per costruire una memoria condivisa e aperta. Questa mostra ci ricorda che l’arte non è solo bellezza, ma anche coscienza civile: uno strumento per comprendere chi siamo e per immaginare, insieme, una società più giusta, più consapevole e più capace di futuro”. Il direttore generale del Museo e Real Bosco di Capodimonte Eike Schmidt: “Siamo lieti di accogliere a Capodimonte un progetto così originale con il quale Napoli2500 ha voluto confrontarsi con la cultura africana e la sua indiscussa influenza sull’arte contemporanea ma anche con un passato di orrori ideologici, dal razzismo al colonialismo, che non vanno mai dimenticati, giustificati e men che mai assolti.",https://capodimonte.cultura.gov.it/mostra/nafrica-maschere-memorie-identita-uomini-o-maschere/,"Found on the venue's ""all (current/upcoming/past)"" listing page. No closing date found anywhere on the venue's pages."
capo,L’Ospite bergamasca Lucina Brembati di Lorenzo Lotto. Capodimonte è di Moda – Percorsi nella storia del Costume,,,"Nei giorni feriali dalle 8.30 alle 17.00 (ultimo ingresso alle 16.30) nei giorni festivi dalle ore 8.30 alle 19.30 (ultimo ingresso alle 18.30) Lorenzo Lotto (Venezia, 1480 ca. – Loreto, 1556) Ritratto di Lucina Brembati 1521- ca. 1523 Olio su tavola Bergamo, Accademia Carrara Francesco Mazzola detto il Parmigianino (Parma, 1503 – Casalmaggiore, 1540) Ritratto di Galeazzo Sanvitale 1524 Olio su tela Napoli, Museo e Real Bosco di Capodimonte Francesco Mazzola detto il Parmigianino (Parma, 1503 – Casalmaggiore, 1540) Ritratto di giovane donna, l’Antea 1535-1537 Olio su tela Napoli, Museo e Real Bosco di Capodimonte",https://capodimonte.cultura.gov.it/mostra/lospite-bergamasca-lucina-brembati-di-lorenzo-lotto-capodimonte-e-di-moda-percorsi-nella-storia-del-costume/,"Found on the venue's ""all (current/upcoming/past)"" listing page. No closing date found anywhere on the venue's pages."
capo,"La Pietà di Gricci, il modellatore del Re. Nuova acquisizione di Capodimonte. Tra terracotta e porcellana",,,"Apertura tutti i giorni tranne il mercoledì, le domeniche e i festivi (apertura eccezionale domenica 2 novembre e martedì 4 novembre) Nei giorni feriali dalle ore 8.30 alle 19.30 (ultimo ingresso alle 18.30). “La Pietà di Gricci, il modellatore del Re. Nuova acquisizione di Capodimonte. Tra terracotta e porcellana” Il Direttore Schmidt: “Emozionante riportare a Napoli un tassello importante della storia della Real Fabbrica”",https://capodimonte.cultura.gov.it/mostra/la-pieta-di-gricci-il-modellatore-del-re-nuova-acquisizione-di-capodimonte-tra-terracotta-e-porcellana/,"Found on the venue's ""all (current/upcoming/past)"" listing page. No closing date found anywhere on the venue's pages."
capo,Capodimonte doppio Caravaggio. L’Ecce Homo e La Flagellazione di Cristo,,,"Nei giorni feriali dalle 8.30 alle 17.00 (ultimo ingresso alle 16.30) nei giorni festivi dalle ore 8.30 alle 19.30 (ultimo ingresso alle 18.30) Dopo quattro secoli il capolavoro ritrovato a Madrid torna a Napoli dove fu dipinto. Schmidt: Qui un dialogo unico con un Ospite davvero speciale. È la nostra proposta per omaggiare Napoli 2500. Dal 24 luglio al 3 novembre “Capodimonte Doppio Caravaggio” è un’occasione unica per ammirare l’Ecce Homo di Madrid, l’ultimo capolavoro ad essere entrato nel corpus del pittore, eccezionalmente in dialogo accanto alla Flagellazione di Cristo (1571-1610).",https://capodimonte.cultura.gov.it/mostra/capodimonte-doppio-caravaggio-lecce-homo-e-la-flagellazione-di-cristo/,"Found on the venue's ""all (current/upcoming/past)"" listing page. No closing date found anywhere on the venue's pages."
