venue_code,title,start_date,end_date,summary,url,notes
rijks,ED VAN DER ELSKEN. UP CLOSE,2026-06-19,2026-09-13,"A cyclist cheekily sticking out her tongue, tough youths on Amsterdam's Nieuwendijk, young women in miniskirts. From The Netherlands to Cuba and Japan, Ed van der Elsken chased the same unfiltered energy. Different streets, a different time - and yet you recognise it. He is one of the most beloved Dutch photographers of the twentieth century. But how did his pictures come about? What did he see that others missed? And what did he set aside, sometimes for years, before he was satisfied? The exhibition Ed van der Elsken. Up Close takes you into his studio. Since 2019, the Rijksmuseum and the Nederlands Fotomuseum have looked after his personal archive together, and for the first time the material has been examined in full. Alongside his best-known photographs, you'll see his handwritten notes, contact sheets covered in red marks, darkroom experiments and newly discovered book dummies.",https://www.rijksmuseum.nl/en/whats-on/exhibitions/ed-van-der-elsken,"Found on the venue's ""current/upcoming"" listing page. opening date read from a sentence, not a date field: ""19 June till 13 September 2026""."
rijks,FIEP WESTENDORP,2026-06-19,2026-09-13,"150 drawings by the illustrator who gave post-war Netherlands a visual language all of its own Jip and Janneke, Pim and Pom, Pluk van de Petteflet. This summer the Rijksmuseum brings together some 150 original drawings by illustrator Fiep Westendorp. From early sketches to the illustrations that have stayed with generations of children. Early sketches, personal drawings, iconic book illustrations and work for Het Parool : you see how versatile Westendorp was, and how her recognisable visual style slowly took shape. Fiep Westendorp (1916–2004) knew from a young age what she wanted to be: an illustrator. She studied first at the Koninklijke School voor Kunst, Techniek en Ambacht (Royal School of Art, Technology and Craft) in 's-Hertogenbosch, then at the Academie van Beeldende Kunsten (Academy of Visual Arts) in Rotterdam. In her early sketchbooks you see her style emerging: quick, keen-eyed, full of humour.",https://www.rijksmuseum.nl/en/whats-on/exhibitions/fiep-westendorp,"Found on the venue's ""current/upcoming"" listing page. opening date read from a sentence, not a date field: ""19 June till 13 September 2026""."
rijks,CAREL VISSER IN THE RIJKSMUSEUM GARDENS,2026-06-05,2026-10-25,"This summer, the Rijksmuseum Gardens are home to the work of Carel Visser, the most influential Dutch sculptor of the twentieth century. Visser's sculptures, some as tall as eight metres or as long as five metres, come from museums, private collections and public spaces. Now they are brought together for the very first time. Carel Visser (1928–2015) had little affinity with traditional sculptors' materials such as marble, stone or wood. Iron was his great love. With a cutting torch and welding equipment, he shaped his sculptures from steel plates and beams. Stacking, repetition and symmetry give his sculptures a rigorous structure that never feels cold. You always recognise something in them. A spine. A branch. An animal at rest. Visser always looked to nature and searched for its essence. What do you see?",https://www.rijksmuseum.nl/en/whats-on/exhibitions/carel-visser,"Found on the venue's ""current/upcoming"" listing page. opening date read from a sentence, not a date field: ""5 June to 25 October (year taken from the listing page)""."
rijks,IN THE RIJKSMUSEUM PRINT CABINETS,,2026-11-29,"With more than 750,000 prints and drawings, the Rijksmuseum's collection is one of the largest in the world. Because of the fragility of the material, we rotate the selection in the print cabinets every six month, allowing us to share new stories each time. This presentation focuses on, among other things, Roman street art, social satire and Japanese fairy tales. In the Rome of the 1520s, Polidoro da Caravaggio (c. 1499–1543) was one of the most sought-after artists of his time. He decorated palace facades with monochrome sgraffiti (layers of scratched plaster) depicting mythological and historical scenes, visible to everyone passing on the street. Many of these facade decorations have been lost, but drawings and prints keep them alive. They show how his innovative work spread and inspired artists across Europe. This early 17th-century drawing book is a recent gift to the Rijksmuseum, named after the family who owned it for 300 years. It is unique in having survived fully intact. It contains around thirty drawings, including a series of biblical scenes attributed to Rombout Uylenburgh and his workshop. Uylenburgh emigrated with his family from Friesland to Kraków, where he became a court painter. In 1612 he moved to Danzig (now Gdańsk), a port city with many Dutch inhabitants. There the book likely came into the possession of the Amsterdam merchant Reyer Claesz., whose name appears on the binding. After his death, Uylenburgh fell into obscurity. No refined beauty here, but a glimpse of raw reality. The prints of Giuseppe Mitelli (c. 1634–1718) are considered forerunners of the cartoon. With humour and sharp satire, he depicts wealthy young men, street vendors and beggars in a world of stark inequality. Success, love, honour: almost everything is for sale. His portrayals of the fragility of human existence still hit home. Shared experiences remain recognisable, however great the distance in time.",https://www.rijksmuseum.nl/en/whats-on/exhibitions/in-the-rijksmuseum-print-cabinets,"Found on the venue's ""current/upcoming"" listing page. No opening date published while this exhibition is running."
rijks,WORN,2026-03-27,2027-03-21,"In this intimate fashion presentation, 24 worn, altered and reused garments take centre stage. Signs of wear, repair and craftsmanship tell their story: from 17th-century embroidered mules to a dress worn for generations by the Six family.",https://www.rijksmuseum.nl/en/whats-on/exhibitions/worn,"Found on the venue's ""current/upcoming"" listing page. opening date read from a sentence, not a date field: ""27 March 2026 to 21 March 2027""."
rijks,ASIAN PAVILION,,2026-10-20,"Every six months, the curators present new stories from the Rijksmuseum’s Asian art collection. Under the watchful eyes of the Japanese temple guardians, renowned Taiwanese artist Tong Yang-Tze presents two works. There is also a focus on the Taiwanese artist and fashion designer Sophie Hong, the collection of Asian ivory carvings and the Japanese concept of 'kazari' - the art of decoration. Tong Yang-Tze (b. 1942) is one of Taiwan’s most influential contemporary artists. Her work embodies an emotional connection with Taiwan — the island where she grew up, and which has shaped both her life and her art. Through the flowing language of calligraphy, she expresses this deep bond. Two of her works are currently on view in the Asian Pavilion, including Home is where the Heart is (2023). Calligraphy is an ancient art form that combines the meaning of characters with the artistic expressiveness of brushstrokes. Tong Yang-Tze’s calligraphy revolves around rhythm, emotion, and movement. The rhythm of the characters unfolds like a melody, created by the speed and energy of her brushwork. Sophie Hong is one of the most compelling figures in the Taiwanese contemporary art and fashion scenes. Seamlessly, she merges traditional East Asian aesthetics with contemporary design. Hong uses ‘wearable art’ to explore cultural heritage and identity. With her designs, she weaves narratives about history and traditional craftmanship. She draws inspiration from Chinese Xiangyun silk, a textile that has been created and perfected for hundreds of years. The artist transformed it into her signature ‘Hong silk’, revitalizing tradition through a contemporary artistic language. The two works on display evoke the patterns of bark and vines.",https://www.rijksmuseum.nl/en/whats-on/exhibitions/asian-pavilion,"Found on the venue's ""current/upcoming"" listing page. No opening date published while this exhibition is running."
rijks,20TH-CENTURY GALLERIES,,2026-11-09,"Every six months we present new spotlight displays in the 20th-century galleries of the Rijksmuseum. This edition highlights the drawings of Madelon Vriesendorp, Charley Toorop’s artistic circle, and the influence of photography on 20th-century advertising.",https://www.rijksmuseum.nl/en/whats-on/exhibitions/new-displays-in-the-20th-century-galleries,"Found on the venue's ""current/upcoming"" listing page. No opening date published while this exhibition is running."
rijks,Willem de Kooning at work,2026-10-09,2027-01-17,"One hundred years ago, Willem de Kooning left the Netherlands for a new life in New York, where he became one of the most influential artists of the 20th century. This autumn, he returns, with a major retrospective of his drawings, complemented by a selection of celebrated paintings and sculptures. Alongside the exhibition, two of his most iconic paintings will be displayed in the Gallery of Honour. The exhibition is a collaboration with the Art Institute of Chicago and The Willem de Kooning Foundation in New York and can be seen from 9 October 2026 until 17 January 2027. De Kooning drawings are not studies for paintings. For him, drawing was a way of exploring. Through sketching, correcting, repeating, and deliberately surprising himself. This process was fundamental to his art in every medium and is visible on nearly every artwork he completed. ""I have to change to stay the same"" (1981), is what he liked to say. And so his art never stood still. In over 120 pieces, you see how his drawing evolved across more than 65 years, from early drawings as a student to rapid charcoal sketches.",https://www.rijksmuseum.nl/en/whats-on/exhibitions/willem-de-kooning-at-work,"Found on the venue's ""current/upcoming"" listing page. closing date read from a sentence, not a date field: ""9 October 2026 until 17 January 2027""."
rijks,Document Netherlands: New Energy,2026-10-09,2027-01-17,"Kadir van Lohuizen photographs the energy transition on and around the North Sea Wind turbines hundreds of metres tall, metres-thick underwater cables, colossal platforms on the open sea. The energy transition is unfolding on a scale that's impossible to grasp. Photographer and filmmaker Kadir van Lohuizen turns his camera on places almost no one ever visits: offshore wind farms, hydrogen plants, CO₂ storage sites and data centres. For the exhibition New Energy , Van Lohuizen was granted exclusive access to these sites in the Netherlands, Germany, Denmark, Norway and the United Kingdom. It offers a panoramic view of a development that plays out largely out of sight, on the open sea and inside closed, complex installations. This exhibition is part of the Document Netherlands series, the Rijksmuseum's annual photography commission in which a Dutch photographer is asked to research and capture a current social theme. Kadir van Lohuizen is known for his sharp eye and his ability to bring large, complex stories close and make them tangible. His best-known projects deal with the consequences of rising sea levels, the diamond industry, migration in the Americas, and the way six megacities process their waste, as well as the global food industry. Kadir has won numerous photojournalism awards, including the World Press Photo Award for his photo series on waste in the world's cities.",https://www.rijksmuseum.nl/en/whats-on/exhibitions/document-netherlands-new-energy,"Found on the venue's ""current/upcoming"" listing page. closing date read from a sentence, not a date field: ""9 October 2026 till 17 January 2027""."
rijks,Drawing!,2027-02-12,2027-05-23,"Around 1600, the art of drawing experienced a true revolution in the Northern Netherlands. A group of artist friends, including Hendrick Goltzius, Jacques de Gheyn II, and Abraham Bloemaert, found each other in their drive for innovation. Together they brought the art of drawing to unprecedented heights. They experimented with all kinds of materials, techniques, and subjects, and pushed nearly every boundary. With over 100 highlights from European and American collections, this revolution in the art of drawing comes together in a major overview exhibition. The exhibition The Art of Drawing can be seen from 12 February to 23 May 2027 at the Rijksmuseum, followed by 18 June to 26 September 2027 at The Morgan Library & Museum in New York.",https://www.rijksmuseum.nl/en/whats-on/exhibitions/draw,"Found on the venue's ""current/upcoming"" listing page. closing date read from a sentence, not a date field: ""12 February till 23 May 2027""."
rijks,METAMORPHOSES,2026-02-06,2026-05-25,"Passion, desire, lust, jealousy, cunning and deceit. The Rijksmuseum takes you on a journey into one of the greatest and most important sources of inspiration for artists: The Metamorphoses by the poet Ovid.",https://www.rijksmuseum.nl/en/whats-on/exhibitions/metamorphoses,"Found on the venue's ""past"" listing page."
rijks,FAKE!,2026-02-06,2026-05-25,"At a time when AI is becoming increasingly sophisticated, you may ask yourself: when is a photograph real or fake? Yet images have been manipulated, often with surprising ease, since the very beginnings of photography. In FAKE! you will explore 50 historical images from our collection that reveal creative and deceptive visual illusions.",https://www.rijksmuseum.nl/en/whats-on/exhibitions/fake,"Found on the venue's ""past"" listing page."
