venue_code,title,start_date,end_date,summary,url,notes
acq,JOAN MIRÓ | JEAN PAUL RIOPELLE PALM BEACH,,,"Paintings, sculptures and collages by Miró and Riopelle.",https://www.acquavellagalleries.com/exhibitions/joan-miro-jean-paul-riopelle,"Found on the venue's ""all (current/upcoming/past)"" listing page. The venue's page shows only ""SEPTEMBER 2026"" for this exhibition's dates — no day is published, only the month and year."
acq,MATISSE THE PURSUIT OF HARMONY NEW YORK,2026-04-09,2026-05-22,"Fifty works by Matisse, in pursuit of harmony.",https://www.acquavellagalleries.com/exhibitions/matisse2,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,SOFT REINS FROM DEGAS TO FORDJOUR PALM BEACH,2026-02-06,2026-04-06,"The horse as muse, Degas to Fordjour.",https://www.acquavellagalleries.com/exhibitions/soft-reins,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,MASTERS OF MODERNISM FROM GAUGUIN TO WARHOL PALM BEACH,2025-12-13,2026-02-02,"Modernist masters, Gauguin to Warhol.",https://www.acquavellagalleries.com/exhibitions/masters-of-modernism,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,NICOLE WITTENBERG ALL THE WAY NEW YORK,2025-10-16,2025-12-05,Wittenberg's landscapes and twisting florals.,https://www.acquavellagalleries.com/exhibitions/nicole-wittenberg2,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,YUKA KASHIHARA STARDUST PALM BEACH,2025-10-15,2025-12-08,Kashihara's fifteen paintings on cosmic origins.,https://www.acquavellagalleries.com/exhibitions/yuka-kashihara2,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,MIQUEL BARCELÓ NEW YORK,2025-04-24,2025-05-30,Barceló's paintings and ceramics inspired by the sea.,https://www.acquavellagalleries.com/exhibitions/miquel-barcelo4,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,JOANI TREMBLAY ALL THE WILD THAT REMAINS PALM BEACH,2025-04-17,2025-06-15,Tremblay's landscapes and flower paintings.,https://www.acquavellagalleries.com/exhibitions/joani-tremblay,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,POSTWAR ABSTRACTION MOVEMENT AND FORM PALM BEACH,2025-02-28,2025-04-13,Ten artists shaping postwar abstraction.,https://www.acquavellagalleries.com/exhibitions/postwar-abstraction,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,PORTRAITURE: FROM CASSATT TO WARHOL NEW YORK,2025-01-21,2025-04-04,"Portraits spanning a century, Impressionism to today.",https://www.acquavellagalleries.com/exhibitions/portraiture-from-cassatt-to-warhol,"Found on the venue's ""all (current/upcoming/past)"" listing page. The same exhibition is also shown at Palm Beach."
acq,HARUMI KLOSSOWSKA DE ROLA SACRED WOODS PALM BEACH,2025-01-11,2025-02-23,"Klossowska de Rola's sculpted animals, bronze and wood.",https://www.acquavellagalleries.com/exhibitions/harumi-klossowska-de-rola,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,PORTRAITURE FROM CASSATT TO WARHOL PALM BEACH,2024-11-22,2025-01-05,"Portraits spanning a century, Impressionism to today.",https://www.acquavellagalleries.com/exhibitions/portraiture,"Found on the venue's ""all (current/upcoming/past)"" listing page. The same exhibition is also shown at New York."
acq,TOM SACHS BRONZE NEW YORK,2024-11-07,2024-12-13,Sachs recasts Picasso and Brâncuși sculptures in bronze.,https://www.acquavellagalleries.com/exhibitions/tom-sachs3,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,JACOB EL HANANI DRAWING ON CANVAS NEW YORK,2024-09-10,2024-10-18,El Hanani's meticulous ink drawings on canvas.,https://www.acquavellagalleries.com/exhibitions/jacob-el-hanani,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,"JAMES ROSENQUIST AT MOMA F-111 ON VIEW IN THE WERNER AND ELAINE DANNHEISSER GALLERY, FOURTH FLOOR",2012-01-26,,,https://www.acquavellagalleries.com/exhibitions/james-rosenquist-at-moma,"Found on the venue's ""all (current/upcoming/past)"" listing page. No closing date found anywhere on the venue's pages. The text on this page is not a description of the exhibition, so no summary was written."
