venue_code,title,start_date,end_date,summary,url,notes
acq,JOAN MIRÓ | JEAN PAUL RIOPELLE PALM BEACH,,,"An exhibition of paintings, sculptures, and collages by Joan Miró and Jean Paul Riopelle on view in Palm Beach. Joan Miró dedicated himself to sculpture late in his storied career, working initially in ceramic before making works which were cast in bronze. The artist created over three hundred bronzes between 1966 and his death in 1983. Unflagging in his aim to explore and redefine the medium of sculpture, at age 81, Miró shared his enthusiasm with his friend Alexander Calder: “I am an established painter but a young sculptor.” Miró first explored three-dimensional objects in the late 1920s and early 1930s—when, inspired in part by Surrealism, he spontaneously combined everyday objects into a series of revolutionary constructions and peinture-objets. In 1949, Miró found a new direction that would galvanize his sculptural practice and further root his sculptures in the natural world. One day, while walking near his summer home in Mont-roig, he came across a rock which he reimagined as a head and had cast in bronze, making his first objet trouvé. Miró began imaginatively and spontaneously combining his found objects with clay modeling to create assemblages, transforming the elements into poetic and suggestive sculptures that would be cast in bronze. The works on view in this exhibition focus on some of the artist’s most significant subjects, including abstracted birds and metaphorical portraits of women incorporating found objects. An important early watercolor and collage work, ""The Wind,"" 1924, is also on view in the exhibition.",https://www.acquavellagalleries.com/exhibitions/joan-miro-jean-paul-riopelle,"Found on the venue's ""all (current/upcoming/past)"" listing page. The venue's page shows only ""SEPTEMBER 2026"" for this exhibition's dates — no day is published, only the month and year."
acq,MATISSE THE PURSUIT OF HARMONY NEW YORK,2026-04-09,2026-05-22,"“I made sculpture because what interested me in painting was the clarification of my ideas. I changed medium and worked in clay as a respite from painting when I had done absolutely all that I could for the moment. Which is to say that it was always for the purpose of organization. It was done to give order to my feelings, to seek a method that completely suited me. When I found it in sculpture, it helped me in painting.” The exhibition is open to the public free of charge and tickets are not required to visit the exhibition. The gallery does not provide timed entries. Acquavella Galleries is pleased to present Matisse: The Pursuit of Harmony, an exhibition featuring fifty paintings, works on paper, and sculpture by Henri Matisse on loan from museums, foundations, and private collections. On view from April 9 through May 22, 2026, the exhibition traces Matisse’s investigation of form in two and three dimensions, from paintings and sculptures made at the start of the 20th century through the next five decades of his career. Although Acquavella has dealt in exceptional works by Matisse for over sixty years, this marks the gallery’s first exhibition devoted to the French artist since 1973. Henri Matisse (1869–1954) is widely regarded as the unparalleled modernist master of color, having revolutionized art with his luminous palette and lyrical color harmonies, but his experimentation with form was equally central to his artistic pursuits. In each chapter of his career, Matisse worked to refine and essentialize his approach to form and the figure. In his own words: “A work of art must be harmonious in its entirety: any superfluous detail would replace some other essential detail in the mind of the spectator.” Simplified, rhythmic forms, often inspired by the graceful, flowing lines of the arabesque, were integral to Matisse’s lifelong pursuit of harmony and balance in his art.",https://www.acquavellagalleries.com/exhibitions/matisse2,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,SOFT REINS FROM DEGAS TO FORDJOUR PALM BEACH,2026-02-06,2026-04-06,"The exhibition brings together an expansive dialogue of artists, from Impressionist and modern masters to leading contemporary figures including Jules de Balincourt, Fernando Botero, Will Cotton, Giorgio de Chirico, Edgar Degas, Raoul Dufy, Derek Fordjour, Lucian Freud, Marino Marini, Tomokazu Matsuyama, Joel Mesler, Sarah Miska, Pablo Picasso, Roy Lichtenstein, Robert Longo, Tom Otterness, Susan Rothenberg, Laurie Simmons, Hank Willis Thomas, and Summer Wheat. Acquavella Galleries is pleased to present Soft Reins, a group exhibition exploring the enduring significance of the horse as a powerful symbol and artistic muse, highlighting how the animal has inspired art, mythology, and storytelling throughout art history. Guest curated by the artist Tomokazu Matsuyama, Soft Reins will be on view at Acquavella’s Palm Beach gallery from February 6 through March 22, 2026. An opening reception and panel discussion will also be held at the gallery on the evening of February 6th. The title Soft Reins refers to a dynamic between a horse and its rider: when drawing gently on the reins, the horse responds naturally and without resistance. This intuitive ability and connection between horse and rider mirrors the dynamic between the artist and muse, presenting the horse as an enigmatic source of inspiration across cultures and histories. By presenting a diverse array of artists and media, Soft Reins underscores the horse's lasting impact on the artistic imagination. It highlights its capacity to convey profound messages across distinct cultures and eras, making it a dynamic subject for ever-changing times. The exhibition brings together an expansive dialogue of artists, from Impressionist and modern masters to leading contemporary figures including Jules de Balincourt, Fernando Botero, Will Cotton, Giorgio de Chirico, Edgar Degas, Raoul Dufy, Derek Fordjour, Lucian Freud, Marino Marini, Tomokazu Matsuyama, Joel Mesler, Sarah Miska, Pablo Picasso, Roy Lichtenstein, Robert Longo, Tom",https://www.acquavellagalleries.com/exhibitions/soft-reins,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,MASTERS OF MODERNISM FROM GAUGUIN TO WARHOL PALM BEACH,2025-12-13,2026-02-02,"Works on view by Pierre Bonnard, Georges Braque, Paul Cézanne, Jean Dubuffet, Paul Gauguin, Alberto Giacometti, Fernand Léger, Brice Marden, Henri Matisse, Joan Miró, Édouard Vuillard, Andy Warhol, and Zao Wou-Ki.",https://www.acquavellagalleries.com/exhibitions/masters-of-modernism,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,NICOLE WITTENBERG ALL THE WAY NEW YORK,2025-10-16,2025-12-05,"“I think good paintings are moving images, because they’re not static. Great paintings move.” To read Sarah Messerschmidt's catalogue essay, please click here. Acquavella Galleries is pleased to present All the Way, Nicole Wittenberg’s second solo exhibition with the gallery and her first at Acquavella’s New York location. The exhibition will be on view from October 16 through December 5, 2025. A reception for the artist will be held the evening of Wednesday, October 29, from 5:00 to 7:00 pm. Wittenberg’s return to Acquavella this fall follows the artist’s three solo museum exhibitions over this summer: Maison La Roche, Fondation Le Corbusier, Paris; the Ogunquit Museum of American Art, Ogunquit, Maine; and the Center for Maine Contemporary Art, Rockland, Maine. Several works from Wittenberg’s museum exhibitions in Rockland and Ogunquit will appear in All the Way. All the Way explores painting’s ability to capture the sensation of a singular moment extended over time. Nicole Wittenberg's painting practice takes scenes, elements, and encounters with the natural world as its subject matter. Her landscapes and twisting florals explore the medium’s ability to capture temporal moments as impressions that retain the energy of the experience.",https://www.acquavellagalleries.com/exhibitions/nicole-wittenberg2,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,YUKA KASHIHARA STARDUST PALM BEACH,2025-10-15,2025-12-08,"""Everything is connected, and everything is one. Painting, for me, is a way of knowing who I am. Tracing that history back, it became clear to me that I, too, am made of stardust; and that realization felt profoundly natural. The primeval landscapes I have encountered in my life, too, if traced back far enough, were once stardust."" Acquavella Galleries is pleased to present Stardust, a solo exhibition of fifteen paintings by the Japanese artist Yuka Kashihara in its Palm Beach gallery, on view from October 15 through December 8, 2025. This suite of acrylic and oil paintings on canvas marks a continuation of the artist’s interest in imagining the otherworldly, while looking even farther to the cosmos. Her work is often sparked by instigating moments and views observed while traveling or walking, which she then blends with conjured vistas. In her new paintings, Kashihara explores our connection with the ancient and cosmic, combining the two ideas by exploring the origin of all organic matter, beginning deep in space. Kashihara cites Marcus Chown’s book, The Magic Furnace, as an inspiration for her new work. He states: “Every atom in our bodies has an extraordinary history. Our blood, our food, our books, our clothes–everything contains atoms forged in blistering furnaces deep inside stars, which were blown into space by those stars’ cataclysmic explosions and deaths…The birth of every atom was marked by cosmic events on an enormous scale, against a backdrop of unimaginable heat and cold, brightness and darkness, space and time.” The artist’s newest body of work draws on this idea of celestial kinship.",https://www.acquavellagalleries.com/exhibitions/yuka-kashihara2,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,MIQUEL BARCELÓ NEW YORK,2025-04-24,2025-05-30,"""Painting is an urge that swallows you whole. You don't know exactly where you're going. You lose yourself completely and you end up doing something you had forgotten, or something you wanted to do without knowing how you got there. A miracle that repeats itself differently each time. It's a primitive thing, a vital thing. I felt it right away when I was painting beside my mother at twelve years old."" Acquavella Galleries is pleased to present Miquel Barceló, the renowned Spanish artist’s fourth solo exhibition with the gallery. The exhibition presents over two dozen new paintings and a selection of recent ceramic works, featuring the artist’s signature use of layered materiality, vivid color, and richly textured surfaces. The exhibition is on view April 24 to May 30, 2025 at Acquavella’s New York location. Over the past four and a half decades, the Spanish artist Miquel Barceló (b. 1957) has explored a diverse range of media, including painting, works on paper, ceramic, bronze sculpture, large-scale installation, and performance. In addition to his deep-rooted connection to Spain and his native Mallorca, Barceló draws inspiration from his global travels, continuously experimenting with new materials and techniques influenced by ancient and contemporary cultural traditions. Throughout his practice, the artist’s fascination with the natural world has been central, resulting in textured canvases filled with earthly materiality, tactile surfaces, and compositions inspired by the effects of light and ever-changing colors of the sea. In his latest series of paintings, Barceló deepens his engagement with organic subject matter, drawing inspiration from the sea surrounding Mallorca, where he lives and works in addition to Paris. In densely layered surfaces, Barceló’s new “still life” paintings feature scenes filled with tropical fish, crabs, shells, crustaceans, and marine vegetation that emerge from layers of muted chromatic grays in brilliant hues of red and blue. Traces",https://www.acquavellagalleries.com/exhibitions/miquel-barcelo4,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,JOANI TREMBLAY ALL THE WILD THAT REMAINS PALM BEACH,2025-04-17,2025-06-15,"""In a more general sense, my work is about our ideas around place as a whole and the sense of multiple and yet simultaneously layered experiences of landscape we all have. We all have false memories of places we have never been to, may that be the rock formations of Arizona, Niagara Falls or the idea of the California sun washing colors. We are in an age where nature is pictured in everything from films and photographs to theme park attractions, computer games, and advertisements, from pages to screens to physical spaces and back again. These simulations and reproductions of diverse landscapes get combined with our own memory of places and create these vaguely familiar places we have never been too, or an odd feeling of knowing somewhere when it is our first time setting foot there."" Exhibition Preview: Wednesday, April 16th, from 6-7:30pm in Palm Beach. Acquavella Palm Beach is pleased to present All the Wild That Remains, Joani Tremblay’s first solo exhibition with the gallery and her first in Palm Beach. The exhibition features several new paintings that span two signature bodies of work including large-scale landscapes and intimate flower paintings. Working between her studios in Montreal, Canada and the Mojave Desert in California, Tremblay continues her exploration of our personal and collective relationship with the natural world. All the Wild That Remains will be on view from April 17 through June 15, 2025 at Acquavella Galleries’ Palm Beach location. Tremblay’s work explores both the physical experience of nature and our perception of it, which is often mediated through its ubiquitous representation in media, informing what the artist describes as “painting from a constructed idea of place.” Eschewing traditional approaches to landscape painting, Tremblay begins each work by assembling source materials and images culled from online sources, as well as through field observation, texts, and memory, to create digital collages that evolve through many iteration",https://www.acquavellagalleries.com/exhibitions/joani-tremblay,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,POSTWAR ABSTRACTION MOVEMENT AND FORM PALM BEACH,2025-02-28,2025-04-13,"""In every work of art, there is a balance between control and spontaneity. It is this delicate dance that creates a sense of tension and energy.” © 2025 The Estate of David Smith / Licensed by VAGA at Artists Rights Society (ARS), NY Palm Beach, FL – Acquavella Galleries is pleased to present Postwar Abstraction: Movement and Form, a group exhibition exploring the breadth of abstract art in the second half of the 20th century from artists Carl Andre, John Chamberlain, Willem de Kooning, Richard Diebenkorn, Ellsworth Kelly, Kenneth Noland, Jackson Pollock, Jean Paul Riopelle, and David Smith. The ten featured artists pursued and pushed abstraction in new directions, resulting in their spearheading movements like Abstract Expressionism, Color Field painting, and Minimalism. When placed in dialogue with one another in this exhibition, these works show the overlap of ideas and concepts that informed the artists and these movements.",https://www.acquavellagalleries.com/exhibitions/postwar-abstraction,"Found on the venue's ""all (current/upcoming/past)"" listing page."
acq,PORTRAITURE: FROM CASSATT TO WARHOL NEW YORK,2025-01-21,2025-04-04,"New York, NY – Acquavella Galleries is pleased to present Portraiture: From Cassatt to Warhol, a group exhibition exploring portraiture, with paintings and sculptures spanning over a century and different styles of representation, from Impressionism to today. Artists include Francis Bacon, Billy Al Bengston, Pierre Bonnard, Dominic Chambers, Jean Dubuffet, Nicole Eisenman, Lucian Freud, Alberto Giacometti, Damian Loeb, Henri Matisse, Joan Miró, Chris Ofili, Tom Sachs, Wayne Thiebaud, Édouard Vuillard, Andy Warhol, and Hannah Wilke. The exhibition opened at the gallery’s Palm Beach location November 20th, 2024, and will open in New York January 21st, 2025. Portraiture: From Cassatt to Warhol brings together works that delve into the techniques and methods that artists have utilized to represent their subjects in portraiture. Showing works by artists across the spectrum of the Impressionist, modern, and contemporary periods, the exhibition reflects the disparate ways of seeing and portraying, with a particular focus on the relationship between painter and model. Through these varying perspectives, the simulacrum undergoes shifts and transformations that illustrate the breadth of portraiture while delving into the genre’s inherent intimacy. © 1986 The Andy Warhol Foundation for the Visual Arts, Inc. / Licensed by Artists Rights Society (ARS), New York Among the selection of artworks is Andy Warhol’s iconic Self-Portrait (Fright Wig) (1986). Created during the penultimate year of Warhol’s life, the silkscreen painting ranks among the artist’s most recognized and familiar images. Self-Portrait (Fright Wig) is complemented by an earlier self-portrait by the artist, Self-Portrait (1964), offering two starkly different representations of the artist at different moments in his life. Created at the outset of his career, the 1964 painting marks a starting point for Warhol’s career-long engagement with the construction of identity as it pertained to composing his public persona",https://www.acquavellagalleries.com/exhibitions/portraiture-from-cassatt-to-warhol,"Found on the venue's ""all (current/upcoming/past)"" listing page. The same exhibition is also shown at Palm Beach."
