venue_code,title,start_date,end_date,summary,url,notes
va,Schiaparelli: Fashion Becomes Art,2026-03-28,2026-11-15,"Here's five things you should know about both Maison Schiaparelli and its ingenious founder, Elsa Schiaparelli Discover the extraordinary details of an iconic 1937 embroidered couture coat, designed by Elsa Schiaparelli in collaboration with the Surrealist artist Jean Cocteau. Spanning 1890 to 2027, this timeline charts the key moments in the life of fashion designer Elsa Schiaparelli Find out more about Elsa Schiaparelli's London branch, opened in 1933, that brought Parisian style to British high society",https://www.vam.ac.uk/exhibitions/schiaparelli,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,"Rising Voices: Contemporary Art from Asia, Australia and the Pacific",2026-05-16,2027-01-10,Discover Naomi Hobson's photographic series 'A Warrior without a Weapon' – striking portraits featuring men and boys with their hair and faces decorated with flowers.,https://www.vam.ac.uk/exhibitions/rising-voices-contemporary-art-from-asia-australia-and-the-pacific,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,"Constantinople to Istanbul: One City, Two Empires",2026-11-07,2027-05-09,Treat yourself or a lucky recipient to the gift of Membership,https://www.vam.ac.uk/exhibitions/constantinople-to-istanbul-one-city-two-empires,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,Punk to Pop,2027-03-13,2028-01-02,Treat yourself or a lucky recipient to the gift of Membership,https://www.vam.ac.uk/exhibitions/punk-to-pop,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,Sculpture in Clay,2027-05-29,2028-02-06,Treat yourself or a lucky recipient to the gift of Membership,https://www.vam.ac.uk/exhibitions/sculpture-in-clay,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,Chintz,2027-09-18,2028-06-04,Treat yourself or a lucky recipient to the gift of Membership,https://www.vam.ac.uk/exhibitions/chintz,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,Lasting Impressions: Women Printmakers 1900 – Now,2025-09-27,2026-09-27,"V&A Members enjoy free and unlimited entry to all exhibitions, a sought-after programme of Members' events, use of our Members' Rooms, at least 10% off in V&A shops, and much more. A print is an image created on one surface, and transferred to another - find out about the variety of printmaking processes From Madame de Pompadour to Mary Cassatt – discover women working in print from the 1700s – 1930s Women have championed print since its invention, but never more so than in the 20th and 21st centuries",https://www.vam.ac.uk/exhibitions/lasting-impressions-women-printmakers-1900-now,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,Adobe Creative Residents On Display,2025-12-02,2026-11-01,"V&A Members enjoy free and unlimited entry to all exhibitions, a sought-after programme of Members' events, use of our Members' Rooms, at least 10% off in V&A shops, and much more.",https://www.vam.ac.uk/exhibitions/the-adobe-creative-residents-on-display,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,Urushi Now: Contemporary Japanese Lacquer,2026-04-30,2027-04-30,"Watch Japanese artist Mine Tanigawa create delicate sculptures using urushi (lacquer), a natural tree sap with a history dating back over 7,000 years",https://www.vam.ac.uk/exhibitions/urushi-now-contemporary-japanese-lacquer,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,Lost Music Venues,2026-05-30,2027-10-30,Treat yourself or a lucky recipient to the gift of Membership,https://www.vam.ac.uk/exhibitions/lost-music-venues,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,American Photographs,2025-06-14,2027-05-16,"V&A Members enjoy free and unlimited entry to all exhibitions, a sought-after programme of Members' events, use of our Members' Rooms, at least 10% off in V&A shops, and much more. What all these photographers had in common was a desire to understand the American South – its people, its places, its histories, and possible futures Powerful and provocative – one of the most important artists of her generation From the fight for suffrage in the 19th century to today’s intersectional campaigns for gender justice",https://www.vam.ac.uk/exhibitions/american-photographs,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,Dimensions: Contemporary Chinese Studio Crafts,2025-10-28,2027-09-26,"V&A Members enjoy free and unlimited entry to all exhibitions, a sought-after programme of Members' events, use of our Members' Rooms, at least 10% off in V&A shops, and much more.",https://www.vam.ac.uk/exhibitions/dimensions-contemporary-chinese-studio-crafts,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,Bharti Kher at the V&A,2026-07-20,2027-01-24,"V&A Members enjoy free and unlimited entry to all exhibitions, a sought-after programme of Members' events, use of our Members' Rooms, at least 10% off in V&A shops, and much more. Discover how Bharti Kher’s works invites visitors to see both contemporary sculpture and the museum’s collections in new ways",https://www.vam.ac.uk/exhibitions/bharti-kher-at-the-va,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,Sacred Treasures from Kyiv,2026-09-14,2027-09-17,"V&A Members enjoy free and unlimited entry to all exhibitions, a sought-after programme of Members' events, use of our Members' Rooms, at least 10% off in V&A shops, and much more.",https://www.vam.ac.uk/exhibitions/sacred-treasures-from-kyiv,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
va,Photopoetry,2026-03-23,2026-09-20,Treat yourself or a lucky recipient to the gift of Membership Word & Image - Art Books and Design from the National Art Library,https://www.vam.ac.uk/exhibitions/photopoetry,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
