venue_code,title,start_date,end_date,summary,url,notes
tate-modern,FRIDA: THE MAKING OF AN ICON,2026-06-25,2027-01-03,"Step into the life and legacy of Frida Kahlo: revolutionary artist and global icon Discover the extraordinary story of how Frida Kahlo became one of the most influential artists of all time, a cultural phenomenon, and an internationally recognised commercial icon. Frida: The Making of an Icon will showcase over 30 of Kahlo’s most iconic works that introduce her ‘many selves’ – the dedicated wife, the intellectual, the modern artist, and the political activist. Alongside treasured garments, jewellery, photographs and memorabilia, there are over 200 works by her contemporaries and the artists she inspired from later generations, celebrating her lasting impact on those who continue to reimagine and reclaim her remarkable story. The show will culminate by exploring ‘Fridamania’. Kahlo’s transformation into a global brand will feature more than 200 commercial objects that encompass her art, image, style and persona.",https://www.tate.org.uk/whats-on/tate-modern/frida-kahlo-the-making-of-an-icon,"Found on the venue's ""current/upcoming"" listing page. Also listed on the venue's ""recently opened"" page. Also listed on the venue's ""recently opened"" page. Also listed on the venue's ""recently opened"" page. opening date read from a sentence, not a date field: ""25 June 2026 - 3 January 2027""."
tate-modern,Julio Le Parc: Light. Colour. Action.,2026-06-08,2027-05-03,"Discover seven decades of joyful works by Argentinian artist Julio Le Parc, which turns visitors into active participants Playful and mesmerising, this immersive exhibition celebrates the visionary work of Julio Le Parc. Featuring his striking interactive installations, shimmering light sculptures, and large-scale geometric paintings, the show spans an extraordinary career from the late 1950s to the 2020s. He is best known for his pioneering kinetic sculptures, which use light, movement and mirrored surfaces to surprise and draw in the viewer. Le Parc wanted to make viewers feel active, with their acts of looking and experiencing bringing each artwork to life; to make more democratic art that everyone can easily enjoy. The show also explores the depth and diversity of Le Parc’s talent, with trailblazing installation art plus canvases and works on paper experimenting with colour combinations and dynamic visual effects.",https://www.tate.org.uk/whats-on/tate-modern/julio-le-parc,"Found on the venue's ""current/upcoming"" listing page. Also listed on the venue's ""recently opened"" page. Also listed on the venue's ""recently opened"" page. opening date read from a sentence, not a date field: ""8 June 2026 - 3 May 2027""."
tate-modern,Ana Mendieta,2026-07-14,2027-01-17,"Experience the powerful work of Ana Mendieta, whose legacy changed the course of contemporary art This major exhibition dedicated to Ana Mendieta presents many of her iconic works alongside newly remastered films, early paintings, and late sculptural pieces, many of which have never been seen in the UK before. The show will continue outside the gallery walls, embracing Mendieta’s deep relationship with the natural world. Mendieta is best known for her Silueta Series, exploring the presence and absence of the human body, using a number of natural materials including fire, water and flowers. These ephemeral works were recorded as photographs and films. Active in the 1970s and early 80s, the Cuban-born American artist posed profound questions throughout her work around displacement and identity, which remain highly relevant today.",https://www.tate.org.uk/whats-on/tate-modern/ana-mendieta,"Found on the venue's ""current/upcoming"" listing page. Also listed on the venue's ""recently opened"" page. opening date read from a sentence, not a date field: ""14 July 2026 - 17 January 2027""."
tate-modern,Light and Magic: The Birth of Art Photography,2026-10-14,2027-02-21,"Light and Magic is the first major exhibition to explore pictorialism as a global movement. Discover how artists became pioneers of the darkroom, transforming our understanding of photography and image making. Bringing together over 200 rare prints by over 80 artists from Seoul to Sydney, New York to Cape Town and Brazil to Singapore, this truly international exhibition takes a fresh and inclusive look at the history of photography. Featuring never-before seen works from around the world alongside pieces from Tate’s Collection, Light and Magic highlights the vast and varied artistic possibilities of photography as a medium. All Tate Modern entrances are step-free. You can enter via the Turbine Hall and into the Natalie Bell Building on Holland Street, or into the Blavatnik Building on Sumner street. There are lifts to every floor of the Blavatnik and Natalie Bell buildings. Alternatively you can take the stairs.",https://www.tate.org.uk/whats-on/tate-modern/light-and-magic,"Found on the venue's ""current/upcoming"" listing page. Also listed on the venue's ""recently opened"" page."
tate-modern,Monet: Painting Time,2027-02-25,2027-06-27,"Enjoy the exquisite works of one of history’s best-loved artists Tate Modern’s first ever exhibition focusing exclusively on Claude Monet brings together breathtaking paintings from lenders across the globe, including rarely seen works from private collections. Based mainly in France, Monet lived through an era which saw the rise of railways, industrialisation, the modern city, and the adoption of standardised timekeeping. Drawing on new research, the show explores how Monet responded to these seismic changes through his work. The exhibition centres on Monet’s profound and evolving relationship with time. We see how he echoed the rapid pace of modern life by capturing the fleeting, instantaneous ‘impressionist’ moment, through works such as Arrival of the Normandy Train, Gare Saint-Lazare (1877). We are also shown, in celebrated series such as Poplars on the Epte (1891–1897), Monet’s attempts, through variations of the same subject, to capture a specific, transient instant in time.",https://www.tate.org.uk/whats-on/tate-modern/monet,"Found on the venue's ""current/upcoming"" listing page. Also listed on the venue's ""recently opened"" page."
tate-modern,Ink,2027-04-22,2027-08-30,"Ink is Tate’s first ever exhibition dedicated to the enduring and profoundly philosophical practice of ink painting. Serving as an introduction to this beautiful, intricate artform, the show highlights key ideas within the ink tradition, including its sense of historical continuity and relationship to the natural world. Organised around three themes ‘Life’, ‘the Garden’, and ‘Breath’, the exhibition features around 80 works. While ink painting is widely practiced across East Asia and its diasporas, the show focuses on key artists in mainland China, Hong Kong and Taiwan who helped reinvent it for the twentieth century. Each found new ways to honour the tradition while pushing it forward - boldly experimenting, yet staying true to its core principles. By tracing the connections between these artists, Ink reveals a vibrant regional network and challenges familiar Western narratives of modern art, including ideas of originality, expressionism and the avant-garde. Ink is presented in the Eyal Ofer Galleries. Research supported by Hyundai Tate Research Centre: Transnational in partnership with Hyundai Motor. Research supported by Hyundai Tate Research Centre: Transnational",https://www.tate.org.uk/whats-on/tate-modern/ink,"Found on the venue's ""current/upcoming"" listing page. Also listed on the venue's ""recently opened"" page."
tate-modern,Baya,2027-06-10,2027-10-17,"Witness the bold and beautiful works of leading Algerian artist Tate Modern presents the UK’s first ever solo exhibition of the work of Algerian artist Baya (Mahieddine). Featuring more than 100 of her vivid gouache watercolours, alongside unique ceramic sculptures, this show traces Baya’s groundbreaking impact across cultural landscapes in North Africa and Europe during the 20th century. Forging an artistic and cultural identity in newly independent Algeria, Baya’s geometric patterns and bold colours were rooted in the creative and natural surroundings of her homeland, as well as its storytelling and musical traditions. Throughout her life, she defied attempts to categorise her work in terms like ‘surrealist’ or ‘naive’, instead claiming her distinctly modernist approach as simply ‘Baya-ism’. Baya’s work has been influential on generations of international artists and thinkers, including figures such as Pablo Picasso and André Breton. This exhibition shines a spotlight on her practice, showcasing her extraordinary work on its own terms. It builds on new research to explore the complexity and experimentation at the heart of this hugely significant artist’s career.",https://www.tate.org.uk/whats-on/tate-modern/baya,"Found on the venue's ""current/upcoming"" listing page. Also listed on the venue's ""recently opened"" page."
tate-modern,Nalini Malani,2027-07-01,2028-01-09,"Witness the powerful work of leading contemporary artist Nalini Malani Surveying the incredible six-decade career of contemporary artist Nalini Malani, this exhibition is characterised by its ability to evoke both beauty and discomfort. As a global storyteller based in Mumbai, Malani’s work is deeply influenced by her own lived experience as a child refugee of India’s Partition. Her practice centres on rewriting Western and Eastern history, myths and literature in a way that prompts viewers to question the world around them. With this exhibition, Malani addresses the complexity of our times and reveals the hopeful conviction that guides her practice: ‘The future is female, there is no other way’. Known in India since the late sixties for her pioneering multidisciplinary approach, Malani gained international recognition with signature monumental multi-media works and installations such as Mother India: Transactions in the Construction of Pain, and In Search of Vanished Blood. These works will be presented in the show alongside her recent iPad animation series Can You Hear Me?",https://www.tate.org.uk/whats-on/tate-modern/nalini-malani,"Found on the venue's ""current/upcoming"" listing page. Also listed on the venue's ""recently opened"" page."
tate-modern,Lynda Benglis,2027-09-30,2028-03-05,"Immerse yourself in the electrifying, rule-shattering world of Lynda Benglis Lynda Benglis is renowned for challenging conventions and reinventing materials. This approach is already evident in her celebrated ‘pours’, first made in the late 1960s, when she mixed latex and Day-Glo pigments and poured them directly onto the floor to dramatic effect. Over the following decades, Benglis has continued to push the boundaries of form and material across video, photography, sculpture, and installation, working with substances as varied as polyurethane foam, bronze, ceramic, paper and glitter, to create an oeuvre as surprising as it is radical. Tate Modern will present more than 50 works spanning the late 1960s to the present, showcasing the inventive aesthetic that has cemented the American artist's role as one of the most influential artists of our time. The exhibition is organised by the Kunstmuseum Basel, in collaboration with Tate Modern and the Louisiana Museum of Modern Art.",https://www.tate.org.uk/whats-on/tate-modern/lynda-benglis,"Found on the venue's ""current/upcoming"" listing page. Also listed on the venue's ""recently opened"" page."
tate-modern,Edvard Munch,2027-11-11,2028-04-23,"Edvard Munch once described his famous painting series The Frieze of Life as ‘impressions from the life of the soul’. Through powerful images, Munch explored feelings we all recognise - love, loss, and loneliness in a changing world. This compelling new exhibition, organised in collaboration with the MUNCH museum, looks at Munch’s ‘soul paintings’ through the lens of cinema and visual storytelling. With unique input from contemporary filmmakers and academics, the exhibition will bring unprecedented insight into his radical tales of identity and desire. The exhibition includes key works from The Frieze of Life, alongside large-scale paintings, prints, photographs, Munch’s experimental film and rare archival material. By exploring universal themes of passion, pain, and inner turmoil, the show reveals why Munch’s work still feels so relevant in an era shaped by online sharing, self-expression and emotional honesty. Exhibition organised by Tate Modern in collaboration with MUNCH.",https://www.tate.org.uk/whats-on/tate-modern/edvard-munch,"Found on the venue's ""current/upcoming"" listing page. Also listed on the venue's ""recently opened"" page."
