venue_code,title,start_date,end_date,summary,url,notes
artic,Mary Cassatt: After Impressionism,2026-09-06,2027-01-03,"“I began to think it would be great fun to do something I had never done before … I would not give up the idea for any thing.” —Cassatt on her decision to paint a monumental mural for the World’s Fair in Chicago, 1892 After training in Philadelphia in the early 1860s, Cassatt traveled to Europe largely on her own to study with noted teachers and experience the continent’s traditional and modern art firsthand. In 1877 she made the daring decision to join the French Impressionists—the only American to exhibit with them. It was in the years following the eighth and final Impressionist group show in 1886 that Cassatt produced some of her most innovative—and now celebrated—compositions. Marking the centennial of her death, Mary Cassatt: After Impressionism examines her paintings, pastels, and prints of this pivotal period when she took her art making in new directions. Learn everything you need to know about visiting Mary Cassatt: After Impressionism—from who needs a ticket to how to join the virtual line. In the prime years of her career—the late 1880s through the early 1900s—Cassatt pursued ambitious and experimental work, exploring the theme of mothers and caretakers with children, creating complex color prints, and undertaking an unprecedented mural commission for the 1893 World’s Columbian Exposition in Chicago.",https://www.artic.edu/exhibitions/10487/mary-cassatt-after-impressionism,"Found on the venue's ""current"" listing page. Also listed on the venue's ""upcoming"" page. Also listed on the venue's ""past 2026"" page. Also listed on the venue's ""past 2025"" page. Also listed on the venue's ""past 2024"" page. Also listed on the venue's ""past 2023"" page. Also listed on the venue's ""past p2 2026"" page. Also listed on the venue's ""past p2 2025"" page. Also listed on the venue's ""past p2 2024"" page. Also listed on the venue's ""past p2 2023"" page."
artic,Willem de Kooning Drawing,2026-06-14,2026-09-20,"Willem de Kooning (1904–1997) was one of the most celebrated and prolific draftsmen of the 20th century. Willem de Kooning Drawing is the first exhibition to examine the expansive drawing practice of this renowned American artist who immigrated to New York from the Netherlands at the age of 22. While many Art Institute visitors may be familiar with de Kooning’s monumental painting Excavation (1950), a cornerstone of our collection, this exhibition marks the first solo presentation of the artist’s work at our museum since 1969. Learn everything you need to know about visiting Willem de Kooning Drawing—from who needs a ticket to how to listen to the audio tour. This major gathering of works from across the globe reveals how the act of drawing was foundational to de Kooning’s entire artistic process and production—his paintings, sculptures, and printmaking, as well as his drawings—and showcases the totality of his graphic production, from his earliest existing works to his late calligraphic paintings.",https://www.artic.edu/exhibitions/9993/willem-de-kooning-drawing,"Found on the venue's ""current"" listing page."
artic,Lee Miller: Fearless,2026-08-29,2026-12-07,"“It was a matter of getting out on a damn limb and sawing it off behind you.” This memorable phrase is how Lee Miller—by turns a fashion model, magazine photographer, studio operator, Surrealist innovator, international adventurer, and battlefield correspondent—summed up her approach to life and creativity. Lee Miller: Fearless is the first comprehensive survey of her photographs in more than 25 years and gathers together the major episodes of her singular career. Miller was born in Poughkeepsie, New York, in 1907. Intrepid from the first, she moved to Paris at barely 20 years old, simultaneously seeking work in front of and behind the camera. She pioneered Surrealist techniques and broached daring sexual subjects with a readiness that magnetized experimental artists and fashion editors alike. Miller excelled at portraiture as well and pictured a range of cultural figures in the 1930s, most of them personal friends, from Charlie Chaplin to Pablo Picasso. By age 30 Miller had run commercial studios on both sides of the Atlantic; taken a star turn in art cinema and become an haute couture icon; and moving on from Paris to Cairo, influenced Egyptian modern art while reinvigorating her own work through travels in Egypt’s deserts.",https://www.artic.edu/exhibitions/10521/lee-miller-fearless,"Found on the venue's ""current"" listing page."
artic,Beyond Form: Abstraction at Midcentury,2026-06-27,2026-10-19,"Featuring 65 artists from more than 23 countries, this exhibition explores how abstraction emerged as a powerful visual language between 1940 and 1970, a period of global upheaval and transformation. While abstraction allowed artists across the world to move beyond realism to convey complex emotions, ideas, and experiences, it was not a singular movement. There was no one reason artists turned to abstraction, no one abstract technique or style. The impulses, methods, and resulting artworks were wildly divergent. Many artists responded to shifting social and political climates by employing materials in unexpected and, at times, deliberately destructive ways. Processes such as burning, tearing, folding, and layering embraced chance and resisted categorization. Others drew inspiration from their natural and built environments as they sought to ground themselves after the instability wrought by World War II. Some artists explored language, breaking characters and letters into illegible symbols, responding to the inability to communicate the horrors of war and through a lens of cultural exchange. As artists moved across the globe—whether through forced exile or voluntary travel for education—they formed groups to develop innovative techniques and exchange ideas. Among these groups were Gutai in Japan, Atelier 17 in Paris and New York, Tamarind Lithography Workshop in California, ZERO in Germany, and Grupo Frente in Brazil. Confronting censorship, inequality, and displacement, artists turned to abstraction as a means of practicing freedom of expression in the face of oppression and making sense of wartime atrocities.",https://www.artic.edu/exhibitions/10694/beyond-form-abstraction-at-midcentury,"Found on the venue's ""current"" listing page."
artic,"Self, Made: Fourteen Modern Artists from the Richard and Ellen Sandor Family Collection",2026-06-25,2026-11-09,"This exhibition tells stories of self-invention in photography, drawing, and sculpture, most of them from artists working beyond the gallery and museum system that typically validates creative work. The artworks gathered reflect the egalitarian, broad-minded vision of Richard and Ellen Sandor, who in 1978 moved into a spacious, historic apartment in Chicago with—to quote from the book that accompanies this exhibition—“two kids in tow, a photograph by Walker Evans, and a sculpture by Rodin. And not a stick of furniture.” Prodigious art collectors alongside their day jobs as economist (Richard) and artist (Ellen), the Sandors progressively filled their walls with a remarkable constellation of works: historical and contemporary, celebrated and overlooked, exalted and humble. They prized innovation and, above all, individuality—makers with a strong sense of self. “Outsider” artists —a loose and controversial category—quickly came to the Sandors’ attention through Chicago gallerists and James Zanzi, a professor at the School of the Art Institute with whom Ellen had studied. Examples by William Edmondson, Lee Godie, Martín Ramírez, and others included in the show helped to spur lively discussions about innovation and artistic recognition that the Sandors held in a room they dubbed the “Outsiders’ Café.” The Sandors also closely followed the careers of Cindy Sherman and Kara Walker, convinced of their critical talent and committed to supporting art by women and people of color. Sherman and Walker, along with filmmaker John Waters and French installation artist Annette Messager, add perspectives from the center of the established art world, but like many of the “outsider” artists the Sandors collected, they saw value in what Messager called “worthless art,” using television, campy provocation, glossy magazines, or flea-market mirrors as references or source material.",https://www.artic.edu/exhibitions/10587/self-made-fourteen-modern-artists-from-the-richard-and-ellen-sandor-family-collection,"Found on the venue's ""current"" listing page."
artic,Abigail Lucien: Blood of the Earth,2026-06-18,2027-01-25,"In Blood of the Earth, Haitian American artist Abigail Lucien explores the ways that iron connects us to histories, the material world, and each other. Lucien’s artistic practice has long focused on iron—a mineral born from the explosion of stars that forms the molten core of the Earth and is essential to human life. Not only does iron course through our blood, but it also permeates the world around us—in everyday objects, technologies, and the built environment. Iron shape-shifts across terrestrial and celestial scales, and with this exhibition, Lucien probes its narrative and social potential. In the Caribbean, ornate iron gates and grilles adorn ordinary buildings, and in Africa, the iron forge is considered a sacred space of creation. In their sculptural works, Lucien sustains these lineages of artistry and expression, engaging processes, typologies, and iconography that acknowledge craft traditions and diasporic experience. For their solo exhibition Blood of the Earth, Lucien presents a series of new sculptural works in an immersive installation, conceived as a speculative space of creation and possibility. These objects include a furnace, bellows, anvil, and other tools that evoke an active metalsmithing workshop animated by the life force of iron. Iron becomes malleable and viscous when heated and can be forged, welded, and poured into molds. It can also be etched through chemical treatment and turned into steel by adding carbon. These transformative processes—which Lucien used to create the objects on view—embody the adaptability and transitory nature of belonging.",https://www.artic.edu/exhibitions/10693/abigail-lucien-blood-of-the-earth,"Found on the venue's ""current"" listing page."
artic,Embroidered Traditions from Morocco to Afghanistan,2026-05-02,2027-01-25,"In the textiles of Southwest Asia and North Africa, embroidery is more than surface decoration. In this region, known as SWANA, artists have used, and continue to use, centuries-old embellishment techniques to transmit cultural expressions of identity, status, and long-held belief systems. Cultural groups throughout the region wear layers of dress and adornment to protect their bodies physically and spiritually. Garments and household items are ornamented with valuable materials that function as wearable wealth, including symbolic motifs and designs constructed with coins, thread, beads, amulets, ornaments, and jewelry. The vast area that spans from Morocco and Algeria in the west to Afghanistan and Uzbekistan in the east is connected by millennia-old trade networks. The works presented reveal pathways of deep cultural exchange shaped by diverse landscapes—from mountains and deserts to seas—along with the movement of nomadic peoples and the spread and interweaving of multiple religious traditions and urban fashions. Embroidered Traditions from Morocco to Afghanistan is the first exhibition at the Art Institute of Chicago devoted exclusively to the artistic and cultural traditions of SWANA and spectacularly showcases the region’s distinctive beauty and iconic visual expressions. Drawn primarily from the Art Institute’s rich collection of textiles, jewelry, and adornment, this display presents over 70 works from the 18th through 20th century—most of which have never been exhibited publicly—including four rare face veils on loan from a private collector based in Riyadh, Saudi Arabia.",https://www.artic.edu/exhibitions/10585/embroidered-traditions-from-morocco-to-afghanistan,"Found on the venue's ""current"" listing page."
artic,Raqib Shaw: Paradise Lost,2025-06-07,2026-11-15,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty. Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes.",https://www.artic.edu/exhibitions/10569/raqib-shaw-paradise-lost,"Found on the venue's ""current"" listing page."
artic,Edgar Calel: Corn Mountain of Life (Ixim Juyu K’aslem),2026-05-02,2026-09-13,"Guatemala-born artist Edgar Calel works closely with materials, rituals, and techniques from his Maya-Kaqchikel family and community. For Calel, rather than an expression of individuality, art is a way to pass down knowledge and understanding through generations, amplifying long historical traditions and communal bonds. At its heart, his work honors the idea that knowledge is shared, not owned. Calel often uses recycled or readily available supplies, echoing how people build in his community. On the Bluhm Family Terrace, Calel presents a hut made from recycled materials, similar to the practical shelters common in the countryside near his home. In Kaqchikel, the artist’s first language, these huts are called K’ojay, which translates to “we have a house” or “we have a future.” Families often place these huts near fields or gardens to store tools, the season’s harvest, and firewood for the colder months—items to sustain life throughout the course of the year. Inside the structure, Calel has placed a sculpture of a turtle with corn breaking through its shell. In Maya cosmology, the turtle, with its rounded shell, represents the earth and its time cycles, and corn not only symbolizes the element from which humanity was first formed but also is the central sustaining force of Maya life. On the outside, a mountain of ceramic corn implies abundance and security.",https://www.artic.edu/exhibitions/10586/edgar-calel-corn-mountain-of-life-ixim-juyu-kaslem,"Found on the venue's ""current"" listing page."
artic,Jitish Kallat: Public Notice 3,2024-09-09,2026-09-14,"Jitish Kallat’s site-specific installation, Public Notice 3, returns to the Art Institute of Chicago’s Grand Staircase this fall after a 14-year hiatus. Initially unveiled on September 11, 2010, the work connects two significant historical events separated by 108 years: the First World’s Parliament of Religions which began on September 11, 1893, and the terrorist attacks on the World Trade Center and the Pentagon on September 11, 2001. At the earlier event, the World Parliament of Religions, held in an auditorium that encompassed the area that today includes both the museum’s Fullerton Hall and Woman’s Board Grand Staircase, a young Hindu monk, Swami Vivekananda electrified audiences with a powerful speech calling for an end to religious fundamentalism, intolerance, and bigotry. This very speech forms the basis of Kallat’s work, as the staircase risers are illuminated by Vivekananda’s words in five alternating colors—red, orange, yellow, blue, and green. These colors, borrowed from the decade-long advisory system of the US Department of Homeland Security following the attacks of 9/11, formed a spectrum denoting terrorism threat levels—from red for severe to green for low. Kallat transforms this motif of public vigilance into a radiant signal, reflecting Swami Vivekananda’s timeless and urgent plea for tolerance and universal acceptance. Hear from the artist in this conversation with curator Madhuvanti Ghose, conducted at the museum on September 12, 2024.",https://www.artic.edu/exhibitions/10453/jitish-kallat-public-notice-3-2,"Found on the venue's ""current"" listing page."
