venue_code,title,start_date,end_date,summary,url,notes,swept_at
mad,La Mode en Majesté. Royal Thai Dress from Tradition to Modernity,2026-05-13,2026-11-01,"The Musée des Arts Décoratifs presents a unique exhibition on the clothing evolution at the Thai court, featuring pieces from the royal collection. Gathering more than a hundred exceptional garments and accessories, the exhibition showcases the royal wardrobes, highlighting the eight traditional Thai costume formats designed by Her Majesty Queen Sirikit in collaboration with a team of historians and local Thai designers. The exhibition also emphasizes the unique history of cultural and artistic dialogue, marked by over thirty years of collaboration between Queen Sirikit and fashion designer Pierre Balmain, later continued with the Balmain and Lesage houses. Organized in collaboration with the Queen Sirikit Museum of Textiles in Thailand and The Sustainable Arts and Crafts Institute of Thailand (SACIT), the exhibition coincides with the celebrations of the 170th and 340th anniversaries of diplomatic relations between France and Thailand (formerly the Kingdom of Siam). A variety of demonstration sessions will guide you on a journey to discover Thai craftsmanship throughout the exhibition. Local artisans will showcase embroidery, basketry, weaving, and other traditional techniques, offering a vivid and authentic glimpse into Thailand’s rich cultural and artistic heritage.",https://madparis.fr/La-Mode-en-Majeste-Royal-Thai-Dress-from-Tradition-to-Modernity,"Found on the venue's ""current"" listing page.",2026-09-26T01:48:19.782Z
mad,A Day in the Eighteenth Century: Chronicle of a Parisian Townhouse,2026-02-18,2026-10-04,"The Musée des Arts Décoratifs invites visitors to step inside the intimate world of an eighteenth-century aristocratic residence and its inhabitants – masters, servants, and household animals. Featuring more than 550 original objects, drawn from the museum’s collections and for most of them, rarely exhibited, ’A Day in the Eighteenth Century: Chronicle of a Parisian Townhouse’ gather all fields of expression of the decorative arts – wood panelling and wallpapers, furniture, ceramics, silverware, clothing and fashion accessories, toys, and jewellery – to recreate the life of a Parisian hôtel particulier in the 1780s. In a cinematic, sound-filled and scented atmosphere, the visitors wander from room to room as if they were close acquaintances, friends, or privileged guests of the family. The exhibition is curated by Ariane James-Sarazin, Chief Heritage Curator responsible for the seventeenth- and eighteenth-century collections and the Nissim de Camondo collection, together with Sophie Motsch, Assistant Curator. The exhibition is designed by FREAKS Architecture.",https://madparis.fr/A-Day-in-the-Eighteenth-Century-Chronicle-of-a-Parisian-Townhouse,"Found on the venue's ""current"" listing page.",2026-09-26T01:48:19.782Z
mad,Look: 40 Years of Fashion at the Museum,2026-09-30,2027-04-04,"To celebrate the 40th anniversary of the founding of the Musée des Arts de la Mode within its walls, the Musée des Arts Décoratifs is presenting an exhibition featuring 40 iconic outfits. The major exhibition, “Look: 40 Years of Fashion at the Museum” reveals the craftsmanship and techniques of the fashion world. From sewing workshops to behind-the-scenes at the museum, these techniques transform garments into works of art. The exhibition invites visitors to follow the dual life of a garment, from before to after it enters the collections. It unveils the stages of creation, conservation, and restoration that bring this exceptional heritage to life, from the initial sketch to the runway show, via fashion photography, and from the museum’s storage to the exhibition. Visitors can discover the beauty of the works and objects that contribute to creating a fashion piece, such as drawings, embroidery samples, patterns, and model archives. Enhanced by photography and worn by increasingly famous models, garments become the stars of fashion shows, which are now conceived as true artistic performances.",https://madparis.fr/Look-40-ans-de-mode-au-musee-2552,"Found on the venue's ""upcoming"" listing page.",2026-09-26T01:48:19.782Z
mad,Rafael Pavarotti. Photographer,2026-10-02,2027-05-02,"For the first time in France, the Musée des Arts Décoratifs presents the work of Brazilian photographer Rafael Pavarotti from October 2, 2026, to May 2, 2027. The exhibition showcases over 200 prints, juxtaposed with photographs from the museum’s collection, from the iconic fashion magazine covers to portraits of international pop culture stars such as Rihanna, Harry Styles, and Beyoncé, as well as campaigns he has created for major fashion houses. His work is characterized by a vibrant, powerful style, producing striking and unique images. Born in 1993 in Pará, within the Amazon rainforest, Pavarotti’s personal history resonates throughout his photographic approach. Strong women in his family, the bright, colorful dishware of his grandmother, and the natural environment of his childhood are central sources of inspiration.",https://madparis.fr/Rafael-Pavarotti-Photographer,"Found on the venue's ""upcoming"" listing page.",2026-09-26T01:48:19.782Z
mad,The language of Walls: Rubbings from China to Notre-Dame,2026-03-18,2026-06-28,"From March 18 to June 28, 2026, the Musée des Arts Décoratifs presents Le langage des murs. Estampages de la Chine à Notre-Dame, the fourth focus exhibition in the Drawing, Wallpaper and Photography Department, coinciding with the Salon du Dessin and Printemps Asiatique. Featuring around one hundred works—including ancient and contemporary rubbings, drawings, and technical tools—the exhibition showcases the art of stone rubbing through a unique selection of the museum’s Chinese and French collections. On that occasion, the museum invites Santiago Hardy, a steepljack, and Delphine Syvilay, then research engineer at the Laboratory for Research on Historic Monuments (LRMH), to present for the first time the marks of the stonemasons and the stamped graffiti uncovered during the restoration of Notre-Dame de Paris.",https://madparis.fr/The-language-of-Walls-Rubbings-from-China-to-Notre-Dame,"Found on the venue's ""past"" listing page.",2026-09-26T01:48:19.782Z
mad,1925-2025. One Hundred Years of Art Deco,2025-10-22,2026-04-26,"The Musée des Arts Décoratifs celebrates the centenary of Art Deco with an exhibition of contemporary scenography. In 1925, the International Exhibition of Modern Decorative and Industrial Arts in Paris marked the peak of Art Deco. Decorators, manufacturers, magazines, department stores, artists, and even foreign nations competed fiercely to occupy Parisian buildings or erect temporary structures to display their latest creations. From October 22, 2025, to April 26, 2026, the Musée des Arts Décoratifs will celebrate the centenary of this great style and its success with an exhibition of contemporary scenography.",https://madparis.fr/1925-2025-One-Hundred-Years-of-Art-Deco,"Found on the venue's ""past"" listing page.",2026-09-26T01:48:19.782Z
mad,Guénaëlle de Carbonnières. In the hollow of images,2025-10-29,2026-02-01,"From October 29, 2025, to February 1, 2026, the Musée des Arts Décoratifs presents the photographic work of the artist Guénaëlle de Carbonnières in the “Cabinet des Dessins, Papiers peints et Photographies”. Her work revolves around collective memory, particularly using archaeological and architectural images. For the first time, she immersed herself in the photographic collections of the Musée des Arts Décoratifs to collect and reveal their secrets, like an archaeological dig.",https://madparis.fr/Guenaelle-de-Carbonnieres-In-the-hollow-of-images,"Found on the venue's ""past"" listing page.",2026-09-26T01:48:19.782Z
mad,Paul Poiret: Fashion is a Feast,2025-06-25,2026-01-11,"The Musée des Arts Décoratifs presents its first major monograph dedicated to Paul Poiret (1879-1944), a key figure in Parisian haute couture at the beginning of the 20th century. Paul Poiret, regarded as the liberator of the female body for removing the corset, revolutionized fashion. The exhibition Paul Poiret. Fashion is a Feast is an immersive journey into the creator’s rich universe, from the Belle Époque to the Roaring Twenties. It explores his creations in the fields of fashion, decorative arts, perfume, celebration, and gastronomy. Through 550 works (clothing, accessories, fine and decorative arts), the exhibition highlights his lasting influence and reveals the extent of his creative genius. It is a fascinating journey into the world of a man whose legacy continues to inspire contemporary fashion designers, from Christian Dior in 1948 to Alphonse Maitrepierre in 2024.",https://madparis.fr/Paul-Poiret-Fashion-is-a-Feast,"Found on the venue's ""past"" listing page.",2026-09-26T01:48:19.782Z
mad,"Bamboo, From Pattern to Work",2025-06-05,2025-09-14,"In the intimate “Cabinet des Dessins, Papiers Peints et Photography” on the museum’s 5th floor, explore one of the recurring motifs in Asian art: bamboo. Dive into the Japanese and Chinese collections of the Musée des Arts Décoratifs for the 8th edition of Printemps Asiatique! Explore one of the recurring motifs in Asian art, bamboo.",https://madparis.fr/Bamboo-From-Pattern-to-Work,"Found on the venue's ""past"" listing page.",2026-09-26T01:48:19.782Z
mad,My Teddy Bear,2024-12-04,2025-06-29,"The undisputed king of toys, the teddy bear descends on the Musée des Arts décoratifs to tell his incredible story. Born at the very beginning of the 20th century, he quickly earned a place for himself in the hearts of children, dethroning toys whose existence dated back to Antiquity, like dolls or animals on wheels. Since then, the teddy bear has become the quasi-universal symbol of childhood, and synonymous with tenderness and gentleness. But how has the former king of animals, revered for his strength and feared for his ferocity, transformed into the most popular of toys? Guided tours and workshop are available in French, English, Italian and Spanish. Guided tours and workshop are available in French, English, Italian and Spanish.",https://madparis.fr/My-Teddy-Bear,"Found on the venue's ""past"" listing page.",2026-09-26T01:48:19.782Z
