venue_code,title,start_date,end_date,summary,url,notes,swept_at
acq,Joan Miró | Jean Paul Riopelle Palm Beach,,,Palm Beach. Two painters shown together.,https://www.acquavellagalleries.com/exhibitions/joan-miro-jean-paul-riopelle,"Found on the venue's ""all (current/upcoming/past)"" listing page. The venue's page shows only ""SEPTEMBER 2026"" for this exhibition's dates — no day is published, only the month and year.",2026-09-13T04:27:16.428Z
acq,Matisse The Pursuit of Harmony New York,2026-04-09,2026-05-22,New York. Matisse's investigation of form.,https://www.acquavellagalleries.com/exhibitions/matisse2,"Found on the venue's ""all (current/upcoming/past)"" listing page.",2026-09-13T04:27:16.428Z
acq,Soft Reins From Degas to Fordjour Palm Beach,2026-02-06,2026-04-06,Palm Beach. Horse and equestrian.,https://www.acquavellagalleries.com/exhibitions/soft-reins,"Found on the venue's ""all (current/upcoming/past)"" listing page.",2026-09-13T04:27:16.428Z
acq,Masters of Modernism From Gauguin to Warhol Palm Beach,2025-12-13,2026-02-02,Palm Beach. Gauguin to Warhol survey.,https://www.acquavellagalleries.com/exhibitions/masters-of-modernism,"Found on the venue's ""all (current/upcoming/past)"" listing page.",2026-09-13T04:27:16.428Z
acq,Nicole Wittenberg All the Way New York,2025-10-16,2025-12-05,New York. First solo.,https://www.acquavellagalleries.com/exhibitions/nicole-wittenberg2,"Found on the venue's ""all (current/upcoming/past)"" listing page.",2026-09-13T04:27:16.428Z
acq,Yuka Kashihara Stardust Palm Beach,2025-10-15,2025-12-08,Palm Beach. Recent paintings.,https://www.acquavellagalleries.com/exhibitions/yuka-kashihara2,"Found on the venue's ""all (current/upcoming/past)"" listing page.",2026-09-13T04:27:16.428Z
acq,Miquel Barceló New York,2025-04-24,2025-05-30,New York. Recent work.,https://www.acquavellagalleries.com/exhibitions/miquel-barcelo4,"Found on the venue's ""all (current/upcoming/past)"" listing page.",2026-09-13T04:27:16.428Z
acq,Joani Tremblay All the Wild That Remains Palm Beach,2025-04-17,2025-06-15,Palm Beach. Landscape painting.,https://www.acquavellagalleries.com/exhibitions/joani-tremblay,"Found on the venue's ""all (current/upcoming/past)"" listing page.",2026-09-13T04:27:16.428Z
acq,Postwar Abstraction Movement and Form Palm Beach,2025-02-28,2025-04-13,Palm Beach. Postwar abstraction including sculpture.,https://www.acquavellagalleries.com/exhibitions/postwar-abstraction,"Found on the venue's ""all (current/upcoming/past)"" listing page.",2026-09-13T04:27:16.428Z
acq,Portraiture: From Cassatt to Warhol New York,2025-01-21,2025-04-04,New York. Portraiture from Impressionism to today.,https://www.acquavellagalleries.com/exhibitions/portraiture-from-cassatt-to-warhol,"Found on the venue's ""all (current/upcoming/past)"" listing page. The same exhibition is also shown at Palm Beach.",2026-09-13T04:27:16.428Z
acq,Harumi Klossowska de Rola Sacred Woods Palm Beach,2025-01-11,2025-02-23,Palm Beach. Balthus's daughter.,https://www.acquavellagalleries.com/exhibitions/harumi-klossowska-de-rola,"Found on the venue's ""all (current/upcoming/past)"" listing page.",2026-09-13T04:27:16.428Z
acq,Portraiture From Cassatt to Warhol Palm Beach,2024-11-22,2025-01-05,"Portraits spanning a century, Impressionism to today.",https://www.acquavellagalleries.com/exhibitions/portraiture,"Found on the venue's ""all (current/upcoming/past)"" listing page. The same exhibition is also shown at New York.",2026-09-13T04:27:16.428Z
acq,Tom Sachs Bronze New York,2024-11-07,2024-12-13,New York. Bricolage in bronze.,https://www.acquavellagalleries.com/exhibitions/tom-sachs3,"Found on the venue's ""all (current/upcoming/past)"" listing page.",2026-09-13T04:27:16.428Z
acq,Jacob El Hanani Drawing on Canvas New York,2024-09-10,2024-10-18,New York. Microscopically fine line drawing.,https://www.acquavellagalleries.com/exhibitions/jacob-el-hanani,"Found on the venue's ""all (current/upcoming/past)"" listing page.",2026-09-13T04:27:16.428Z
