venue_code,title,start_date,end_date,summary,url,notes,swept_at
lgd,Inma Barrero: MOTHERS,2026-09-17,2026-10-17,Barrero's ceramic-bead sculptures of maternal figures.,https://www.levygorvydayan.com/exhibitions/inma-barrero-mothers,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Wangari Mathenge: Re-membering,2026-09-17,2026-10-24,Mathenge's first solo exhibition of sculpture and paintings.,https://www.levygorvydayan.com/exhibitions/wangari-mathenge-re-membering,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Pierre Soulages: Paintings on Paper,2026-09-17,2026-10-24,Soulages's rarely-seen paintings on paper.,https://www.levygorvydayan.com/exhibitions/pierre-soulages-paintings-on-paper,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Thomas Houseago: Death's Sacred Mirror,2026-06-04,2026-09-19,Houseago's new sculptures amid a cabinet of curiosities.,https://www.levygorvydayan.com/exhibitions/thomas-houseago-death-s-sacred-mirror,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,"LGD Hammer: Willem de Kooning, Milkmaid (Untitled X) (1984)",2026-05-02,2026-05-16,Auction sale of de Kooning's Milkmaid (Untitled X).,https://www.levygorvydayan.com/exhibitions/lgd-hammer-willem-de-kooning-milkmaid-1984,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Armig Santos: Baladas,2026-04-16,2026-06-13,"Santos's first solo show, canvases on Puerto Rico.",https://www.levygorvydayan.com/exhibitions/armig-santos,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,The Adventure of Domenico Gnoli,2026-03-18,2026-05-23,Largest US survey of Gnoli in five decades.,https://www.levygorvydayan.com/exhibitions/the-adventure-of-domenico-gnoli,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Mark Bradford: Thievery by Servants,2026-02-19,2026-04-11,Bradford's monumental Merchant Poster series work on view.,https://www.levygorvydayan.com/exhibitions/mark-bradford-thievery-by-servants,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Winter Installation,2026-01-21,2026-02-21,"Rotating installation, Pop art to the present.",https://www.levygorvydayan.com/exhibitions/winter-installation,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Juanita McNeely,2026-01-20,2026-04-25,McNeely's first London solo show on the body.,https://www.levygorvydayan.com/exhibitions/juanita-mcneely-london,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,La mort de l'amour,2025-10-09,2025-12-20,"First major London showing of Fini since 1967, with Waliszewska.",https://www.levygorvydayan.com/exhibitions/la-mort-de-l-amour,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Ziva Jelin,2025-09-25,2025-11-01,Jelin's new paintings of her home in Be'eri.,https://www.levygorvydayan.com/exhibitions/ziva-jelin,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
